,AIDS,Acne,Alcoholic Hepatitis,Allergy,Arthritis,Bronchial Asthma,Cervical Spondylosis,Chickenpox,Chronic Cholestasis,Common Cold,Dengue,Diabetes ,Dimorphic Hemmorhoids (piles),Drug Reaction,Fungal Infection,GERD,Gastroenteritis,Heart Attack,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,Hypertension ,Hyperthyroidism,Hypoglycemia,Hypothyroidism,Impetigo,Jaundice,Malaria,Migraine,Osteoarthritis,Paralysis (brain hemorrhage),Peptic Ulcer Disease,Pneumonia,Psoriasis,Tuberculosis,Typhoid,Urinary Tract Infection,Varicose Veins,Vertigo
AIDS,1.0000000000000013,0.020367252024697316,0.020104285437995327,0.02052790087996327,0.01981467228502095,0.2318640662685329,0.020014487360224376,0.1737109064527079,0.02010428543799529,0.14395968825700037,0.15628146906815998,0.020958381100750365,0.01981467228502095,0.02023184974340607,0.020527900879963267,0.020131389996619953,0.020367252024697267,0.020367252024697274,0.021296530919157845,0.0216517243673032,0.019975610152155925,0.020690726017689225,0.1607432762278522,0.020120852085320724,0.0212965309191579,0.0216517243673032,0.022013409460300074,0.22839367833889226,0.20074498233614296,0.20067795935870222,0.020690726017689197,0.019901884399111884,0.02036725202469728,0.020052069556413886,0.17296407071768363,0.01990188439911189,0.14746986106210805,0.18087715975065025,0.02035256939487264,0.020162273820501724,0.019975610152155918
Acne,0.020367252024697316,1.0000000000000007,0.020104285437995327,0.020527900879963264,0.019814672285020908,0.02005206955641389,0.020014487360224348,0.17371090645270776,0.020104285437995285,0.023522765357276817,0.1562814690681599,0.020958381100750365,0.019814672285020894,0.24565961555104615,0.2752974429892103,0.02013138999661998,0.020367252024697316,0.020367252024697316,0.021296530919157876,0.021651724367303192,0.01997561015215592,0.02069072601768919,0.02201775886206349,0.02012085208532073,0.021296530919157907,0.021651724367303192,0.02201340946030008,0.2526721620939123,0.020375908934723727,0.020369106004613242,0.020690726017689186,0.019901884399111877,0.02036725202469728,0.02005206955641388,0.021296530919157883,0.22813164798950303,0.02314469292630273,0.021296530919157862,0.020352569394872635,0.020162273820501717,0.01997561015215591
Alcoholic Hepatitis,0.020104285437995327,0.020104285437995327,0.9999999999999998,0.020294546522429156,0.018962880248679585,0.018811050367618133,0.01920263872439012,0.018552576042965462,0.43912550229545,0.01951112713697168,0.1163284713944823,0.01842918361155147,0.01896288024867957,0.019461290963408363,0.020294546522429166,0.16619333914519255,0.20285063639178186,0.20285063639178186,0.34941762078276184,0.2291968254794315,0.17144093035651156,0.38948349169363417,0.3267111617576994,0.01932947271053458,0.01851550586317542,0.12391642476512908,0.018777966841114463,0.019191962188111297,0.41194087288318715,0.14954295335518064,0.01844217940355483,0.018630320420949864,0.20285063639178166,0.32689295886514186,0.018515505863175387,0.018630320420949864,0.10972966601461494,0.23911691580956632,0.020089792379205777,0.01853976983378951,0.17144093035651145
Allergy,0.02052790087996327,0.020527900879963264,0.020294546522429156,0.9999999999999999,0.019984695453149993,0.020232863643059117,0.020185106717451516,0.021553696689173004,0.020294546522429156,0.2552680269574125,0.15130686120868353,0.021175737965839776,0.019984695453150007,0.020403167448675548,0.020689086712825572,0.02031242823576275,0.02052790087996327,0.02052790087996327,0.021522257292841743,0.021885554367650915,0.020156177778987698,0.020899584253277797,0.02225944540051499,0.02029180708231498,0.021522257292841764,0.02188555436765094,0.02225504825584266,0.020173883935663384,0.02057565946232893,0.19384149189784958,0.020899584253277807,0.020082242417761412,0.02052790087996325,0.020232863643059137,0.16727130924625644,0.02008224241776143,0.14288229505743694,0.17487560760904336,0.020513102439342353,0.02035269501053948,0.02015617777898774
Arthritis,0.01981467228502095,0.019814672285020908,0.018962880248679585,0.019984695453149993,1.0000000000000004,0.019082390666196446,0.019231619723072906,0.019665761204655602,0.018962880248679564,0.02127756234380733,0.020437583444619826,0.01941089004553164,0.019018796267449987,0.019462196155860985,0.01998469545315,0.0191667342783746,0.01981467228502095,0.01981467228502095,0.01963261606548273,0.019878452464812155,0.01900092213903349,0.019270632632708118,0.02014109131761835,0.019344565224486382,0.1569129439806547,0.01987845246481216,0.02013711263392745,0.019220927073556292,0.01908895183881467,0.019082578586673695,0.16557035511695886,0.37718435965538827,0.01981467228502091,0.019082390666196443,0.01963261606548273,0.01892220168917938,0.020985961535008948,0.019632616065482725,0.019800388006616265,0.019024886694773997,0.019000922139033493
Bronchial Asthma,0.2318640662685329,0.02005206955641389,0.018811050367618133,0.020232863643059117,0.019082390666196446,1.0,0.019309484845226942,0.25635129557036906,0.018811050367618144,0.2991368016682516,0.2281432101175443,0.13992707874780844,0.01908239066619643,0.01955497827559711,0.020232863643059137,0.18093681341788145,0.020052069556413893,0.22081300557050926,0.019177073547833906,0.12898669712726327,0.3457528815187417,0.14773885061526892,0.2354538808048599,0.01942980411382518,0.1340287777628834,0.12898669712726327,0.1191155422356667,0.1857908689023554,0.29954169118451635,0.16290106826752362,0.018955367133878423,0.018869245220163332,0.020052069556413872,0.01904030710172743,0.49122811472528477,0.018869245220163353,0.4072142918455429,0.2675169691237975,0.020037614139740173,0.16594239851860493,0.018953357488405397
Cervical Spondylosis,0.020014487360224376,0.020014487360224348,0.01920263872439012,0.020185106717451516,0.019231619723072906,0.019309484845226942,0.9999999999999989,0.01995230821646123,0.019202638724390084,0.021622999298414845,0.13798670002279056,0.01968634957687336,0.019231619723072885,0.01967643374411763,0.020185106717451502,0.01939409467023413,0.020014487360224372,0.020014487360224372,0.019919045578467753,0.020175481943221982,0.0192277716327527,0.019534894297370712,0.02044838077044423,0.4219740860659097,0.019919045578467767,0.020175481943221982,0.14223551922757077,0.01943427715545791,0.019341234782555033,0.019334777300393277,0.019534894297370715,0.2019959295293253,0.020014487360224337,0.019309484845226932,0.019919045578467767,0.01914882699507976,0.02132225129139123,0.019919045578467756,0.02000005903633051,0.01926481511565164,0.20362753946680245
Chickenpox,0.1737109064527079,0.17371090645270776,0.018552576042965462,0.021553696689173004,0.019665761204655602,0.25635129557036906,0.01995230821646123,0.9999999999999984,0.24019468820937723,0.3676270152738075,0.5724202932047818,0.2013829107691201,0.019665761204655595,0.2865355571821647,0.31442696281251703,0.019325468381972234,0.02132786467524297,0.02132786467524297,0.19664438953773689,0.442646694277827,0.260508116166174,0.21356475536012748,0.2610602605262514,0.14828046672924822,0.10492051314937512,0.18411419698456488,0.1729689684701024,0.2734535154609212,0.329275389084782,0.22552739230272761,0.11581456882874784,0.018995983873618158,0.16576048688170958,0.1346058334409426,0.28381997453494007,0.13868244729839227,0.4654094279860246,0.2883682659260985,0.021312489545520154,0.13026314393337687,0.13980532261617398
Chronic Cholestasis,0.02010428543799529,0.020104285437995285,0.43912550229545,0.020294546522429156,0.018962880248679564,0.018811050367618144,0.019202638724390084,0.24019468820937723,0.9999999999999973,0.019511127136971663,0.3212026239643113,0.018429183611551454,0.01896288024867955,0.19242874593052928,0.20557651349886716,0.16619333914519238,0.2028506363917816,0.2028506363917816,0.6860745550922538,0.5505309180943869,0.621637930891914,0.7605248039837139,0.6399043984065971,0.019329472710534555,0.01851550586317539,0.22919682547943127,0.018777966841114446,0.019191962188111263,0.5431148602635235,0.2806731455128692,0.01844217940355479,0.01863032042094983,0.2028506363917814,0.4728969937617934,0.018515505863175366,0.018630320420949843,0.29999612116643665,0.34941762078276123,0.02008979237920576,0.018539769833789473,0.3241626267033296
Common Cold,0.14395968825700037,0.023522765357276817,0.01951112713697168,0.2552680269574125,0.02127756234380733,0.2991368016682516,0.021622999298414845,0.3676270152738075,0.019511127136971663,0.9999999999999994,0.3886214781161953,0.09064702542746746,0.021277562343807337,0.02199294382274226,0.023793746354731093,0.21984737644910554,0.02352276535727683,0.15024335379959486,0.09411528639751936,0.15258701281449286,0.11577630637804945,0.09581097402050098,0.14351034277346392,0.2297013985640266,0.08673819004884083,0.14915585626106265,0.0771866044342919,0.11627888506620615,0.1828418304652965,0.3553730165533385,0.09581097402050105,0.020249403551482397,0.1376760227144061,0.020510450063306863,0.5111087833948881,0.020249403551482404,0.4870231802016301,0.30422186736212203,0.02350580793681699,0.10783752731988969,0.11577630637804918
