index,true,top1,top1_correct,top3_correct,questions_asked
912,Bronchial Asthma,Bronchial Asthma,True,True,7
204,Hepatitis B,Hepatitis B,True,True,5
2253,Hepatitis B,Hepatitis B,True,True,13
2006,Vertigo,Vertigo,True,True,6
1828,Typhoid,Typhoid,True,True,5
1143,Hyperthyroidism,Hyperthyroidism,True,True,6
839,Allergy,Allergy,True,True,10
4467,Psoriasis,Psoriasis,True,True,5
712,Varicose Veins,Varicose Veins,True,True,17
4837,Impetigo,Impetigo,True,True,6
3456,Cervical Spondylosis,Cervical Spondylosis,True,True,6
260,Common Cold,Common Cold,True,True,5
244,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,9
767,Arthritis,Arthritis,True,True,7
1791,Malaria,Malaria,True,True,5
1905,Common Cold,Common Cold,True,True,5
4139,Psoriasis,Psoriasis,True,True,5
4931,Migraine,Migraine,True,True,6
217,Hepatitis C,Hepatitis C,True,True,9
4597,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1628,Psoriasis,Psoriasis,True,True,5
4464,Vertigo,Vertigo,True,True,6
3436,Hypoglycemia,Hypoglycemia,True,True,5
1805,Chickenpox,Chickenpox,True,True,5
3679,Varicose Veins,Varicose Veins,True,True,6
4827,Varicose Veins,Varicose Veins,True,True,6
2278,Hepatitis D,Hepatitis D,True,True,9
53,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1307,Diabetes ,Diabetes ,True,True,5
3462,Typhoid,Typhoid,True,True,5
2787,Impetigo,Impetigo,True,True,6
2276,Hepatitis D,Hepatitis D,True,True,5
1273,Drug Reaction,Drug Reaction,True,True,6
1763,Cervical Spondylosis,Cervical Spondylosis,True,True,6
2757,Hypertension ,Hypertension ,True,True,5
837,Allergy,Allergy,True,True,18
759,Osteoarthritis,Osteoarthritis,True,True,6
3112,Acne,Acne,True,True,7
792,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2940,Heart Attack,Heart Attack,True,True,6
2817,Heart Attack,Heart Attack,True,True,6
2166,Migraine,Migraine,True,True,6
355,Arthritis,Arthritis,True,True,7
3763,Hyperthyroidism,Hyperthyroidism,True,True,6
4392,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1022,Hepatitis B,Hepatitis B,True,True,5
3100,Tuberculosis,Tuberculosis,True,True,5
645,Hepatitis E,Chronic Cholestasis,False,True,5
4522,Cervical Spondylosis,Cervical Spondylosis,True,True,6
2401,Arthritis,Arthritis,True,True,7
2962,Hypertension ,Hypertension ,True,True,5
4729,Jaundice,Jaundice,True,True,6
1575,Osteoarthritis,Osteoarthritis,True,True,6
569,Malaria,Malaria,True,True,5
375,Acne,Acne,True,True,7
1866,Hepatitis D,Hepatitis D,True,True,5
2370,Hyperthyroidism,Hyperthyroidism,True,True,6
653,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
1907,Common Cold,Common Cold,True,True,5
827,Fungal Infection,Fungal Infection,True,True,9
3113,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2277,Hepatitis D,Hepatitis D,True,True,9
3714,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
2988,Vertigo,Vertigo,True,True,6
1332,Hypertension ,Hypertension ,True,True,5
3032,Psoriasis,Psoriasis,True,True,5
2910,Impetigo,Impetigo,True,True,6
1716,Diabetes ,Diabetes ,True,True,5
2187,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,8
584,Dengue,Dengue,True,True,5
1401,Dengue,Dengue,True,True,5
4375,Heart Attack,Heart Attack,True,True,6
2005,Vertigo,Vertigo,True,True,6
1338,Hypertension ,Hypertension ,True,True,5
3786,Jaundice,Jaundice,True,True,6
3108,Hypoglycemia,Hypoglycemia,True,True,5
2211,Chickenpox,Chickenpox,True,True,5
4562,Migraine,Migraine,True,True,6
1799,Malaria,Malaria,True,True,5
2656,Hyperthyroidism,Hyperthyroidism,True,True,6
458,Drug Reaction,Drug Reaction,True,True,6
1876,Hepatitis E,Hepatitis E,True,True,4
262,Common Cold,Common Cold,True,True,5
2584,Allergy,Allergy,True,True,10
3286,AIDS,AIDS,True,True,7
2193,Jaundice,Jaundice,True,True,6
542,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,8
1728,Gastroenteritis,Gastroenteritis,True,True,6
4646,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
2577,Arthritis,Arthritis,True,True,7
1741,Hypertension ,Hypertension ,True,True,14
4089,Varicose Veins,Varicose Veins,True,True,6
3241,GERD,GERD,True,True,6
3758,Pneumonia,Pneumonia,True,True,5
1170,Arthritis,Arthritis,True,True,7
2169,Migraine,Migraine,True,True,9
4955,Arthritis,Arthritis,True,True,7
2020,Urinary Tract Infection,Urinary Tract Infection,True,True,9
4598,AIDS,AIDS,True,True,7
4415,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
2152,Hypertension ,Hypertension ,True,True,5
4788,Hyperthyroidism,Hyperthyroidism,True,True,6
3509,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
4780,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
3271,Hyperthyroidism,Hyperthyroidism,True,True,6
2965,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
1796,Malaria,Malaria,True,True,5
1133,Hypothyroidism,Hypothyroidism,True,True,14
4174,Hypoglycemia,Hypoglycemia,True,True,5
4042,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
744,Hypoglycemia,Hypoglycemia,True,True,8
385,Urinary Tract Infection,Urinary Tract Infection,True,True,9
898,Diabetes ,Diabetes ,True,True,5
1252,GERD,GERD,True,True,6
1310,Gastroenteritis,Gastroenteritis,True,True,6
3458,Jaundice,Jaundice,True,True,6
520,Migraine,Migraine,True,True,6
3152,Vertigo,Vertigo,True,True,6
3126,Hypertension ,Hypertension ,True,True,5
3834,Hepatitis C,Hepatitis C,True,True,6
4334,Heart Attack,Heart Attack,True,True,6
2059,Fungal Infection,Fungal Infection,True,True,5
4532,Hepatitis D,Hepatitis D,True,True,5
94,Bronchial Asthma,Bronchial Asthma,True,True,7
938,Migraine,Migraine,True,True,6
4398,Migraine,Migraine,True,True,6
2185,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,10
2786,Psoriasis,Psoriasis,True,True,5
913,Bronchial Asthma,Bronchial Asthma,True,True,10
2404,Arthritis,Arthritis,True,True,7
3561,Arthritis,Arthritis,True,True,7
1295,AIDS,AIDS,True,True,7
3716,Common Cold,Common Cold,True,True,5
26,GERD,Heart Attack,False,True,6
2157,Hypertension ,Hypertension ,True,True,14
4100,Fungal Infection,Fungal Infection,True,True,5
1463,Hepatitis E,Hepatitis E,True,True,4
4158,Dengue,Dengue,True,True,5
871,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
2444,Psoriasis,Psoriasis,True,True,5
4823,Common Cold,Common Cold,True,True,5
1629,Psoriasis,Psoriasis,True,True,5
